,GCF_000956175.1_ASM95617v1,GCF_013407145.1_ASM1340714v1,GCF_000018465.1_ASM1846v1,GCF_013407165.1_ASM1340716v1,GCF_000875775.1_ASM87577v1,GCF_000007225.1_ASM722v1,GCF_000016385.1_ASM1638v1,GCF_000015805.1_ASM1580v1,GCF_000234805.1_ASM23480v1,GCF_000019805.1_ASM1980v1,GCF_900095295.1_MCBB,GCF_001458655.1_Mb9,GCF_000191585.1_ASM19158v1,GCF_000214725.1_ASM21472v1,GCF_002813695.1_ASM281369v1,GCF_000739065.1_ASM73906v1,GCF_000023985.1_ASM2398v1,GCF_000092305.1_ASM9230v1,GCF_000091665.1_ASM9166v1,GCF_000024625.1_ASM2462v1,GCF_000023965.1_ASM2396v1,GCF_000011085.1_ASM1108v1,GCF_018200015.1_ASM1820001v1,GCF_002844335.1_ASM284433v1,GCF_000007185.1_ASM718v1,GCF_000007065.1_ASM706v1,GCF_000969885.1_ASM96988v1,GCF_000969905.1_ASM96990v1,GCF_001304615.2_ASM130461v2,GCF_000970265.1_ASM97026v1,GCF_000195935.2_ASM19593v2,GCF_008245085.1_ASM824508v1,GCF_000011105.1_ASM1110v1,GCF_001577775.1_ASM157777v1,GCF_000215995.1_ASM21599v1,GCF_000800805.1_ASM80080v1,GCF_900090055.1_C.divulgatum_PM4,GCF_000152265.2_ASM15226v2,GCF_000008265.1_ASM826v1,GCF_000195915.1_ASM19591v1,GCF_000582535.1_ASM58253v1,GCF_000281235.1_ASM28123v1,GCF_018024475.1_ASM1802447v1,GCF_000026205.1_ASM2620v1,GCF_003640545.1_ASM364054v1,GCF_000734035.1_ASM73403v1,GCF_000025285.1_ASM2528v1,GCF_000385565.1_ASM38556v1,GCF_000194625.1_ASM19462v1,GCF_000025505.1_ASM2550v1,Genes,Z-DNAs,Z-DNAs_in_promoter,Genes_with_Z-DNAs_in_promoter,Max_zh-score,Average_zh-score,functions
10,*,*,*,*,*,*,*,*,WP_014287327.1,*,*,WP_048073465.1,*,WP_013825593.1,WP_236951012.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_010868825.1,*,*,WP_068320242.1,*,WP_048113357.1,*,*,*,*,*,*,*,*,*,*,WP_012940444.1,*,*,*,8,2,0,0,883.5764,807.4303500000001,GNAT family N-acetyltransferase
11,*,*,*,*,*,WP_011008105.1,WP_011901297.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,WP_004963437.1,WP_004963437.1,WP_101349479.1,*,*,WP_048166494.1,*,*,*,*,*,*,*,*,*,WP_021788641.1,*,WP_236719330.1,WP_048161559.1,*,*,*,*,*,*,*,*,*,*,9,5,0,0,6565.992,4302.68116,GNAT family N-acetyltransferase
12,WP_048115149.1,WP_179360569.1,WP_012215871.1,WP_179362455.1,WP_148704028.1,WP_011008116.1,WP_011901292.1,WP_011849258.1,WP_014287332.1,WP_012350062.1,WP_071906928.1,WP_060537756.1,WP_013644548.1,WP_013825818.1,WP_100907890.1,WP_048201807.1,WP_015791895.1,WP_013100517.1,WP_010870620.1,WP_012819801.1,WP_015761643.1,WP_011224540.1,WP_004960637.1,WP_101349014.1,WP_226988727.1,WP_011034720.1,WP_048166715.1,WP_048121239.1,WP_054298000.1,WP_048126605.1,WP_010868500.1,WP_011012127.1,WP_010884752.1,WP_068321672.1,WP_013905767.1,WP_048111761.1,WP_077076439.1,WP_009887241.1,WP_011177583.1,WP_010900976.1,*,*,*,*,*,WP_010878921.1,WP_012940942.1,WP_015590190.1,WP_013683532.1,WP_012966602.1,45,36,3,3,28780.5,2051.084936111112,phenylalanine--tRNA ligase subunit beta
13,WP_048114689.1,WP_179360770.1,WP_012216111.1,WP_179362654.1,WP_148702419.1,WP_011008128.1,WP_011901283.1,WP_011849251.1,WP_014287343.1,WP_012350070.1,WP_071908014.1,WP_048073158.1,WP_013644613.1,WP_013825739.1,WP_100909115.1,WP_173400856.1,WP_211204181.1,WP_013099923.1,WP_209320041.1,WP_015733628.1,WP_015764086.1,WP_011222867.1,WP_004963048.1,WP_101349582.1,WP_011019598.1,WP_011032541.1,WP_181952270.1,WP_048118079.1,WP_193726275.1,WP_048127113.1,WP_010867808.1,WP_014835398.1,WP_173026598.1,WP_068323960.1,WP_013905060.1,WP_148305793.1,WP_241810761.1,WP_009887311.1,WP_011177651.1,WP_010901565.1,*,*,*,*,*,WP_010879170.1,*,WP_015591577.1,"WP_013683531.1,WP_156786087.1",WP_012966648.1,45,27,4,4,3428.529,1373.3237703703708,NAD(P)-dependent glycerol-1-phosphate dehydrogenase
14,WP_048116502.1,*,*,*,*,WP_011008130.1,WP_011901682.1,WP_011849249.1,WP_014287345.1,*,*,WP_060538117.1,*,WP_013826890.1,WP_236950976.1,*,*,*,*,*,WP_015762710.1,WP_011223819.1,WP_004957798.1,WP_101350698.1,*,WP_011034544.1,WP_181952219.1,WP_084626120.1,WP_054298894.1,WP_232308784.1,WP_010867977.1,WP_011012163.1,WP_010885363.1,WP_068321359.1,WP_013905920.1,WP_048113040.1,WP_077076157.1,WP_009887765.1,WP_011177758.1,WP_010900883.1,*,*,WP_210954920.1,WP_012504593.1,WP_121463920.1,WP_048064444.1,WP_012941227.1,WP_015590050.1,WP_013683841.1,*,34,29,0,0,28780.5,2389.276062068966,NADP-dependent malic enzyme
15,WP_048115900.1,WP_179360301.1,WP_012215482.1,WP_179362187.1,WP_148703105.1,WP_011008131.1,"WP_011900520.1,WP_011901683.1","WP_011848848.1,WP_193322856.1","WP_014287346.1,WP_014287986.1",WP_012350072.1,WP_071907506.1,"WP_048072356.1,WP_048072395.1","WP_013644033.1,WP_013644079.1","WP_013826428.1,WP_013826473.1",WP_100909301.1,*,*,*,*,*,WP_015761816.1,WP_007189458.1,WP_004959441.1,WP_101351235.1,*,WP_011033473.1,WP_048167785.1,WP_048117241.1,WP_054298289.1,WP_048124096.1,*,WP_011011316.1,*,*,*,*,"WP_021789317.1,WP_077076722.1","WP_009886204.1,WP_009886269.1",WP_011177690.1,"WP_010900596.1,WP_010901231.1",*,*,*,*,*,WP_010878837.1,WP_148208684.1,WP_015591338.1,WP_013684736.1,WP_012965321.1,43,25,2,2,8323.257,1531.34974,citrate synthase
16,WP_048116567.1,WP_179360189.1,WP_012215055.1,WP_179362069.1,WP_148703587.1,"WP_011008875.1,WP_128621465.1","WP_011900061.1,WP_011900269.1",WP_011849310.1,WP_014287360.1,WP_012350082.1,WP_071905862.1,WP_048085714.1,WP_227717275.1,WP_013824744.1,WP_236950986.1,WP_048201199.1,WP_015792073.1,WP_013099833.1,WP_010871060.1,WP_015733468.1,WP_015763366.1,WP_007190140.1,WP_004960920.1,WP_101350227.1,*,WP_011034277.1,WP_048166743.1,WP_048120484.1,WP_054298128.1,WP_048124990.1,WP_048146639.1,WP_014835409.1,WP_048053388.1,WP_068324050.1,WP_013905832.1,WP_048113419.1,WP_021788665.1,"WP_009886229.1,WP_009886661.1",WP_011177535.1,WP_010901395.1,WP_025208835.1,WP_014858569.1,*,*,*,WP_010879051.1,WP_148208652.1,WP_015591132.1,WP_013684632.1,WP_012966986.1,49,20,3,3,211093.9,12543.505775,thioredoxin-disulfide reductase
17,WP_048116221.1,WP_179360024.1,WP_012215184.1,WP_179361914.1,WP_148703440.1,WP_128621466.1,WP_128622187.1,WP_011849312.1,WP_014287362.1,WP_012350084.1,WP_071907040.1,WP_048071997.1,WP_013644386.1,WP_013825976.1,WP_100906033.1,WP_048202317.1,WP_015791243.1,WP_013100042.1,WP_010869965.1,WP_012819633.1,WP_015762793.1,WP_004591559.1,WP_004591559.1,WP_008312918.1,WP_011019585.1,WP_011034064.1,WP_048167014.1,WP_048118655.1,WP_054299440.1,WP_048127623.1,WP_010867454.1,WP_011012956.1,WP_010885831.1,WP_014734787.1,WP_013904914.1,WP_048112663.1,WP_021790156.1,WP_009887173.1,WP_011177450.1,WP_010901669.1,WP_025208798.1,*,WP_246454235.1,WP_012504496.1,WP_201736614.1,WP_010879409.1,WP_012940737.1,WP_015589754.1,WP_013683651.1,WP_012965647.1,49,13,4,4,2752.447,1527.7770076923082,30S ribosomal protein S17
18,WP_048116194.1,WP_179359990.1,WP_012215214.1,WP_179361881.1,WP_148703400.1,WP_011008166.1,WP_011900236.1,WP_011849316.1,WP_014287370.1,WP_012350089.1,WP_071905946.1,WP_048071834.1,"WP_013645325.1,WP_013645943.1",WP_013824814.1,WP_100904829.1,WP_048201718.1,WP_015791364.1,WP_013100357.1,WP_010870657.1,WP_012819797.1,WP_012808056.1,WP_011224114.1,WP_004958907.1,WP_101351073.1,WP_011018988.1,WP_011034691.1,WP_048166393.1,WP_048120845.1,WP_054298697.1,WP_048125955.1,WP_010867508.1,WP_011013013.1,WP_010885890.1,WP_068323089.1,WP_013904857.1,WP_048111255.1,WP_077075877.1,WP_009887607.1,WP_048059464.1,WP_010901513.1,*,*,*,*,*,WP_231487478.1,WP_012940132.1,WP_015591206.1,WP_013682815.1,WP_012965799.1,46,32,4,4,13072.54,1510.8996250000002,type II glyceraldehyde-3-phosphate dehydrogenase
19,WP_237089366.1,WP_179361356.1,WP_238523190.1,WP_246275368.1,WP_148703734.1,WP_011008167.1,WP_128622184.1,WP_011849317.1,WP_014287371.1,WP_012350090.1,WP_071905905.1,WP_048073072.1,WP_013645964.1,WP_013824776.1,WP_100904988.1,WP_048201859.1,WP_015790834.1,WP_013099835.1,WP_064496567.1,WP_015732624.1,WP_012808061.1,WP_011224180.1,WP_004959038.1,WP_198560192.1,WP_011020030.1,WP_011032438.1,WP_048166911.1,WP_048121931.1,WP_054299334.1,WP_048127214.1,WP_010868153.1,WP_011012194.1,WP_010885305.1,WP_068321450.1,WP_013904784.1,WP_238603124.1,WP_077075926.1,WP_019841661.1,WP_011178315.1,WP_010901486.1,WP_025208774.1,WP_014858953.1,WP_210954796.1,*,WP_121464031.1,WP_048064339.1,WP_012939756.1,WP_015590506.1,WP_013684376.1,WP_012965628.1,49,24,1,1,8922.646,2164.893091666667,phosphoglycerate kinase
20,WP_048116075.1,WP_179361627.1,WP_012215309.1,WP_179363602.1,WP_148703301.1,WP_011008169.1,WP_011900239.1,WP_011849319.1,WP_014287373.1,WP_012350092.1,WP_071907922.1,WP_048084337.1,WP_013643690.1,WP_013826943.1,WP_100909495.1,WP_048201675.1,WP_048056257.1,WP_013100837.1,WP_064496752.1,WP_015733613.1,WP_015762356.1,WP_049939115.1,WP_004963713.1,WP_101349395.1,WP_011018914.1,WP_011035193.1,WP_048166335.1,WP_048119599.1,WP_054300115.1,WP_048125924.1,WP_010868458.1,WP_011012497.1,WP_010884794.1,WP_068324589.1,WP_013905167.1,WP_048111554.1,WP_077076558.1,WP_009887118.1,WP_048059452.1,WP_010900759.1,WP_025208772.1,WP_014858946.1,WP_210954690.1,WP_012504320.1,WP_121463956.1,WP_048095069.1,WP_012939571.1,WP_015590521.1,WP_013684598.1,WP_012966267.1,50,26,3,3,28780.5,2078.2662153846154,threonine--tRNA ligase
21,WP_048116218.1,WP_179360021.1,WP_012215187.1,WP_179361911.1,WP_148703437.1,WP_128621471.1,WP_128622185.1,WP_193322979.1,WP_014287393.1,WP_148682327.1,WP_071907044.1,*,*,*,*,WP_048202314.1,WP_015791247.1,WP_013100046.1,WP_010869961.1,WP_012819637.1,WP_015762790.1,WP_004957404.1,WP_004957404.1,WP_101350585.1,WP_011019210.1,WP_011034061.1,WP_048167017.1,WP_048118665.1,WP_054299443.1,WP_048127617.1,WP_010867458.1,WP_011012960.1,WP_010885835.1,WP_068323237.1,WP_013904910.1,WP_082007254.1,WP_021790160.1,WP_019841600.1,WP_011177447.1,WP_010901673.1,*,WP_014858666.1,WP_210954833.1,*,WP_121463686.1,WP_010879412.1,WP_012940740.1,WP_015589757.1,WP_013683654.1,WP_012965644.1,44,22,7,7,9721.919,1899.3661090909093,30S ribosomal protein S3
22,WP_048115655.1,WP_179360414.1,WP_012215674.1,WP_179362324.1,WP_148702961.1,"WP_011008208.1,WP_011008717.1",WP_011899699.1,"WP_011848977.1,WP_011849196.1","WP_014287414.1,WP_014288367.1","WP_012350118.1,WP_012350515.1",WP_071907872.1,WP_048072829.1,WP_013643724.1,WP_013826898.1,WP_100909461.1,WP_048202144.1,WP_015791619.1,WP_013100406.1,WP_010870226.1,WP_015732715.1,"WP_015761754.1,WP_015763162.1","WP_004959876.1,WP_011222992.1","WP_004959876.1,WP_004962141.1","WP_101349844.1,WP_101351356.1",WP_226988641.1,"WP_011033352.1,WP_226987657.1",WP_052721904.1,"WP_048120432.1,WP_232316312.1","WP_054298932.1,WP_226999560.1","WP_048128694.1,WP_232308764.1","WP_010867566.1,WP_010867854.1","WP_011012568.1,WP_011012831.1","WP_010885506.1,WP_010885782.1",WP_068324045.1,WP_013905831.1,WP_048111562.1,WP_021789603.1,WP_009887079.1,"WP_011177592.1,WP_011178271.1",WP_010900496.1,*,*,*,*,*,WP_010877594.1,WP_012940658.1,WP_015591204.1,WP_013684628.1,WP_012964905.1,61,37,7,6,28780.5,1998.5767027027027,acetylornithine transaminase
23,WP_048117089.1,WP_179361372.1,WP_012214899.1,WP_179363242.1,WP_148703719.1,WP_011008215.1,"WP_011899700.1,WP_011900571.1",WP_011849297.1,"WP_014287415.1,WP_193383991.1","WP_012350119.1,WP_012350307.1",WP_071908074.1,WP_048073839.1,WP_048186497.1,WP_048188453.1,WP_100906719.1,WP_048202461.1,WP_015791780.1,WP_013100515.1,WP_064496372.1,WP_015733621.1,WP_015763865.1,WP_011223869.1,WP_004957941.1,WP_101350753.1,WP_011019601.1,"WP_011033036.1,WP_011033987.1","WP_048167507.1,WP_231588027.1","WP_048116922.1,WP_232316246.1","WP_054299630.1,WP_226999657.1","WP_048128292.1,WP_232308567.1",WP_010867886.1,WP_011012431.1,"WP_010884974.1,WP_010885473.1","WP_068324406.1,WP_068324513.1","WP_013905630.1,WP_013905932.1",*,WP_021789812.1,WP_009886194.1,WP_048059626.1,WP_010900629.1,*,*,*,*,*,WP_010879850.1,WP_012939771.1,WP_015591009.1,WP_013684396.1,WP_012964721.1,55,11,2,2,38833.58,4803.276427272727,Fe-S cluster assembly ATPase SufC
24,*,*,*,*,*,WP_011008234.1,WP_011900205.1,WP_193322847.1,WP_014287426.1,WP_012350125.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,0,0,0,-1.0,0.0,exosome subunit
25,WP_048115080.1,WP_179360590.1,WP_012215896.1,WP_179362477.1,WP_148704052.1,WP_011008501.1,WP_011901383.1,WP_011849621.1,WP_014287730.1,WP_012350732.1,WP_071906195.1,WP_060537392.1,WP_013645756.1,WP_013824997.1,WP_100908761.1,WP_048202504.1,WP_015791031.1,WP_013100273.1,WP_010869709.1,WP_015733676.1,WP_015763348.1,WP_007190109.1,WP_004960808.1,WP_101350265.1,WP_011018758.1,WP_011034530.1,*,WP_048119347.1,WP_054299092.1,WP_084630507.1,WP_010868849.1,WP_014835534.1,WP_010885938.1,WP_068322963.1,WP_013905572.1,WP_048112054.1,*,*,*,*,*,*,*,*,*,WP_010879807.1,WP_012939437.1,WP_015591647.1,WP_013683720.1,WP_012964823.1,40,18,6,6,3428.529,1385.9399277777777,RNA-binding protein
26,*,*,*,*,*,WP_011008237.1,WP_011900202.1,WP_011849187.1,WP_014287429.1,WP_012350128.1,*,*,*,*,*,*,*,*,*,*,*,WP_007190143.1,WP_004960954.1,WP_101350221.1,*,*,*,*,*,*,WP_010868418.1,WP_011011658.1,WP_010884853.1,*,WP_013905455.1,WP_048111105.1,*,*,*,*,*,*,*,*,*,*,WP_052294174.1,*,*,*,14,18,3,3,16770.32,2307.359672222223,FAD-dependent thymidylate synthase
27,WP_048116970.1,WP_179361406.1,WP_012214930.1,WP_179363280.1,WP_148703693.1,WP_011008283.1,WP_011901568.1,WP_011849563.1,WP_014287465.1,WP_012350139.1,WP_071906798.1,WP_060537559.1,WP_013644684.1,WP_013825592.1,*,WP_048201692.1,WP_012795015.1,WP_013100136.1,WP_064496747.1,WP_015732512.1,WP_015763588.1,WP_004516749.1,WP_004963187.1,WP_101349541.1,WP_011019001.1,WP_011033654.1,WP_048167831.1,WP_048117947.1,WP_054299957.1,WP_048124417.1,WP_010867581.1,WP_014835580.1,*,*,*,WP_048112719.1,WP_021789125.1,WP_009886666.1,WP_011177073.1,WP_010901236.1,*,*,*,*,*,WP_010878173.1,WP_012939869.1,WP_015590466.1,WP_013682925.1,WP_012966378.1,41,24,1,1,28780.5,2930.327875000001,chorismate synthase
